defeito,H2,CH4,C2H2,C2H4,C2H6
1,0,3,0,20,1
1,0,2,1,2,1
1,0,0,0,0,4
1,0,0,0,0,0
1,30,4,0,31,3
1,2,1,0,0,0
1,10,0,1,14,3
1,5,1,0,5,1
1,19,10,0,31,0
1,0,41,0,22,88
1,0,62,0,10,113
1,8,4,0,17,0
1,2,7,0,19,3
1,27,0,0,0,0
1,0,0,0,1,0
1,0,1,0,3,0
1,34,5,0,25,5
1,0,3,0,3,0
1,0,1,0,1,0
1,28,2,0,37,1
1,26,1,0,22,0
1,15,0,0,12,0
1,0,1,0,6,0
1,8,0,0,10,0
1,3,1,0,9,0
1,4,1,0,11,0
1,11,4,0,34,0
1,0,3,0,11,3
1,12,0,0,33,0
1,14,0,0,20,1
1,9,0,0,19,1
1,2,1,0,17,0
1,0,1,0,9,0
1,8,1,0,2,0
1,10,4,0,3,0
1,0,0,0,3,0
1,10,0,0,5,2
1,32,0,0,3,0
1,16,1,0,2,1
1,12,1,0,1,0
1,23,0,0,0,0
1,29,5,0,0,0
1,0,1,0,13,7
1,8,1,0,13,13
1,18,4,0,19,30
1,0,0,0,2,0
1,23,1,0,1,1
1,21,0,0,4,1
1,24,0,0,3,1
1,16,0,0,0,0
1,0,1,0,4,0
1,0,4,0,11,3
1,0,1,0,1,1
1,11,2,0,4,0
1,0,2,0,7,1
1,5,0,0,9,2
1,3,3,0,6,0
1,0,3,0,7,3
1,7,2,0,6,2
1,6,4,0,7,3
1,13,11,0,6,3
1,0,5,0,4,0
1,34,1,0,6,2
1,0,1,0,0,0
1,26,1,0,2,0
1,5,0,0,8,0
1,0,0,0,8,0
1,19,0,0,9,4
1,15,0,0,12,2
1,4,4,0,5,0
1,0,1,0,3,1
1,0,0,0,4,0
1,6,0,0,6,0
1,5,5,0,3,15
1,0,3,0,1,7
1,4,0,0,4,0
1,3,0,0,4,0
1,0,1,0,2,0
1,5,0,0,7,1
1,6,0,0,7,1
1,0,2,0,8,0
1,0,2,0,5,0
1,0,2,0,2,0
1,6,0,0,2,0
1,18,0,0,21,1
1,15,0,0,3,0
1,8,0,0,2,5
1,4,2,0,1,0
1,4,4,0,1,7
1,6,0,0,12,1
1,5,1,0,12,1
1,0,5,0,12,5
1,0,1,0,5,0
1,0,2,0,4,0
1,6,3,0,12,0
1,2,0,0,0,0
1,7,7,0,3,0
1,3,0,0,3,0
1,3,0,0,1,0
1,0,0,0,15,0
1,0,0,0,11,0
1,6,0,0,20,0
1,6,1,0,17,1
1,0,1,0,11,0
1,0,2,0,10,0
1,0,3,0,9,0
1,22,0,0,5,0
1,18,1,0,3,0
1,7,0,0,7,0
1,4,0,0,5,0
1,0,0,0,14,0
1,6,0,0,21,1
1,7,0,0,2,0
1,5,0,0,4,0
1,0,0,0,32,0
1,8,0,0,30,0
1,4,0,0,33,1
1,0,3,0,34,6
1,0,1,0,23,2
1,0,1,0,33,1
1,17,1,0,15,0
1,0,0,0,10,0
1,6,0,0,17,1
1,3,1,0,15,0
1,0,1,0,8,4
1,4,4,0,18,0
1,30,4,0,1,0
1,6,1,0,0,0
1,3,1,0,0,0
1,23,0,0,4,0
1,15,1,0,4,0
1,0,3,0,4,0
1,6,2,0,1,1
1,13,2,0,1,1
1,6,0,0,28,1
1,9,2,0,13,5
1,0,1,0,20,0
1,0,1,0,16,0
1,0,1,0,10,1
1,7,4,0,3,0
1,5,0,0,1,0
1,20,0,0,0,0
1,0,1,0,0,1
1,7,4,0,0,0
1,0,0,0,18,0
1,5,0,0,17,0
1,26,0,0,25,2
1,32,0,0,21,2
1,3,1,0,1,0
1,6,0,0,3,0
1,7,0,0,6,1
1,0,1,0,5,7
1,5,2,0,2,2
1,9,1,0,8,1
1,9,0,0,6,1
1,4,0,0,2,1
1,0,13,0,2,1
1,7,5,0,2,1
1,8,6,0,2,1
1,7,2,0,1,1
1,2,4,0,7,0
1,4,1,0,2,0
1,15,3,0,0,0
1,2,0,0,11,0
1,2,0,0,18,0
1,4,0,0,13,0
1,0,1,0,27,0
1,0,0,0,19,0
1,4,0,0,26,0
1,5,0,0,31,0
1,0,1,0,26,0
1,31,1,0,28,1
1,12,0,0,26,0
1,0,0,0,16,0
1,0,0,0,9,0
1,3,4,0,1,0
1,2,0,0,1,0
1,0,1,0,0,2
1,0,4,0,0,0
1,0,1,0,23,0
1,0,1,0,14,0
1,21,2,0,10,0
1,12,1,0,21,0
1,3,2,0,14,1
1,21,2,0,2,0
1,5,0,0,2,0
1,4,0,0,1,0
1,4,0,0,2,0
1,4,4,0,0,0
1,13,0,0,3,1
1,33,6,0,9,2
1,24,1,0,3,1
1,2,0,0,1,1
1,4,0,0,1,1
1,0,2,0,0,0
1,14,2,0,1,1
1,0,3,0,5,0
1,0,0,0,5,0
1,4,0,0,6,1
1,7,0,0,0,0
1,0,0,0,7,0
1,9,0,0,5,0
1,8,0,0,5,1
1,0,4,0,1,1
1,22,0,0,3,1
1,24,3,0,2,2
1,24,4,0,0,0
1,13,1,0,0,0
1,0,1,0,1,2
1,32,0,0,1,1
1,26,1,0,5,4
1,28,0,0,11,0
1,0,1,0,7,0
1,6,0,0,11,0
1,2,0,0,8,3
1,5,0,0,1,1
1,6,5,0,0,0
1,8,0,0,16,1
1,7,0,0,18,1
1,20,3,0,17,0
1,19,7,0,26,1
1,3,0,0,1,1
1,22,0,0,15,1
1,9,0,0,4,0
1,15,4,0,11,0
1,29,3,0,24,1
1,0,2,0,16,1
1,29,4,0,20,0
1,18,5,0,14,1
1,21,0,0,12,0
1,4,1,0,7,2
1,16,2,0,10,0
1,3,2,0,13,0
1,0,0,0,17,1
1,10,0,0,23,3
1,7,0,0,23,3
1,7,4,0,35,5
1,7,1,0,35,5
1,10,0,0,13,0
1,18,0,0,14,1
1,0,1,0,8,0
1,0,0,0,6,0
1,16,0,0,3,0
1,10,0,0,2,0
1,13,0,0,1,0
1,10,2,0,2,0
1,14,1,0,1,0
1,11,1,0,11,1
1,21,1,0,12,2
1,2,3,0,5,2
1,6,1,0,3,1
1,0,1,0,12,0
1,32,0,0,7,0
1,16,0,0,13,1
1,17,0,0,13,1
1,19,4,0,11,0
1,15,3,0,12,0
1,12,7,0,37,4
1,23,3,0,35,5
1,18,11,0,31,6
1,6,5,0,15,6
1,34,6,0,14,3
1,25,7,0,22,2
1,12,0,0,8,1
1,20,0,0,8,2
1,23,0,0,29,1
1,6,1,0,32,1
1,23,2,0,25,1
1,20,3,0,32,0
1,3,1,0,5,0
1,11,1,0,1,1
1,5,0,0,15,2
1,0,5,0,20,3
1,0,2,0,19,9
1,4,1,0,37,1
1,7,0,0,7,1
1,6,0,0,5,1
1,3,3,0,4,0
1,5,0,0,21,1
1,0,1,0,17,1
1,0,0,0,13,0
1,0,2,0,14,1
1,5,5,0,22,0
1,6,0,0,2,1
1,8,0,0,1,1
1,4,0,0,9,0
1,0,1,0,9,3
1,22,0,0,23,0
1,14,0,0,29,1
1,11,1,0,25,1
1,0,3,0,19,0
1,7,0,0,14,1
1,9,0,0,14,0
1,0,3,0,16,0
1,0,2,0,9,0
1,0,7,0,0,0
1,3,35,0,29,80
1,23,37,0,21,70
1,15,27,0,7,54
1,5,48,0,18,77
1,33,29,0,6,40
1,10,29,0,4,45
1,22,24,0,3,27
1,4,25,0,5,32
1,0,10,0,20,7
1,9,0,0,10,2
1,7,5,0,20,5
1,7,4,0,22,5
1,0,9,0,13,4
1,0,6,0,4,2
1,12,1,0,30,0
1,0,3,0,29,0
1,0,1,0,28,0
1,3,64,0,17,28
1,14,81,0,18,27
1,0,51,0,35,12
1,16,61,0,28,19
1,4,82,0,12,77
1,0,64,0,6,56
1,0,74,0,6,58
1,0,57,0,2,16
1,3,24,0,20,6
1,0,18,0,21,6
1,0,13,0,21,4
1,0,26,0,24,6
1,5,27,0,22,5
1,0,41,0,16,7
1,10,44,0,27,15
1,8,52,0,23,11
1,0,43,0,27,14
1,3,47,0,24,13
1,15,77,0,8,114
1,12,71,0,6,121
1,29,73,0,13,105
1,0,0,0,27,1
1,5,0,0,30,2
1,4,6,0,15,0
1,0,5,0,2,0
1,0,24,0,0,18
1,4,20,0,4,12
1,5,31,0,4,8
1,0,25,0,4,4
1,0,10,0,1,2
1,12,25,0,1,3
1,0,3,0,32,2
1,0,20,0,2,4
1,5,10,0,2,4
1,0,8,0,2,4
1,0,16,0,0,0
1,0,16,0,0,25
1,0,0,0,34,1
1,17,0,0,28,2
1,11,1,0,36,5
1,5,2,0,27,5
1,19,2,0,25,4
1,0,8,0,19,0
1,0,1,0,37,0
1,0,2,0,19,0
1,16,25,0,7,15
1,18,41,0,8,16
1,13,37,0,3,4
1,8,26,0,1,8
1,6,9,0,32,3
1,4,6,0,20,0
1,9,35,0,15,3
1,4,18,0,7,2
1,15,3,0,3,1
1,23,38,0,18,9
1,4,4,0,25,9
1,3,6,0,15,8
1,0,5,0,4,5
1,0,6,0,2,11
1,31,63,0,3,11
1,22,66,0,9,9
1,20,48,0,9,9
1,8,64,0,7,16
1,23,69,0,8,13
1,5,91,0,3,29
1,8,71,0,3,22
1,0,83,0,1,31
1,0,64,0,1,21
1,0,0,0,0,8
1,12,77,0,2,25
1,0,48,0,0,8
1,0,44,0,0,6
1,0,26,0,0,1
1,4,37,0,0,9
1,0,3,0,29,9
1,0,1,0,27,6
1,5,4,0,27,2
1,0,15,0,1,4
1,0,10,0,1,1
1,9,17,0,3,5
1,9,19,0,2,5
1,3,10,0,2,1
1,15,19,0,1,7
1,15,18,0,3,1
1,0,7,0,1,3
1,7,0,0,2,1
1,7,4,0,2,1
1,7,4,0,1,0
1,5,5,0,1,0
1,7,5,0,1,0
1,0,22,0,0,8
1,33,15,0,0,4
1,16,20,0,3,8
1,14,22,0,2,9
1,2,16,0,0,4
1,10,11,0,1,5
1,5,54,0,9,9
1,6,54,0,10,21
1,8,42,0,8,8
1,33,45,0,5,5
1,11,47,0,6,5
1,9,44,0,13,8
1,4,42,0,4,10
1,2,35,0,3,7
1,15,48,0,5,12
1,2,36,0,21,7
1,0,39,0,7,10
1,0,42,0,1,17
1,0,43,0,1,13
1,0,44,0,2,12
1,10,38,0,2,13
1,27,57,0,2,10
1,0,53,0,2,8
1,3,38,0,4,13
1,2,52,0,4,12
1,0,49,0,1,13
1,5,55,0,2,10
1,0,38,0,1,28
1,0,39,0,1,22
1,4,34,0,0,15
1,2,23,0,0,0
1,3,38,0,4,12
1,4,40,0,2,10
1,0,38,0,2,10
1,0,41,0,1,11
1,0,44,0,0,2
1,0,34,0,1,11
1,17,60,0,2,71
1,11,74,0,2,94
1,13,66,0,3,43
1,3,69,0,2,51
1,2,37,0,2,30
1,2,42,0,2,30
1,14,27,0,1,18
1,8,23,0,0,6
1,0,41,0,0,28
1,3,51,0,2,23
1,3,46,0,2,16
1,0,26,0,2,27
1,0,20,0,1,11
1,0,35,0,1,11
1,4,52,0,2,30
1,0,52,0,3,45
1,0,41,0,1,34
1,0,41,0,1,30
1,0,47,0,1,32
1,8,45,0,24,6
1,10,27,0,17,5
1,15,38,0,21,3
1,4,32,0,23,3
1,6,21,0,14,4
1,25,25,0,14,1
1,9,17,0,2,3
1,6,8,0,3,2
1,8,41,0,2,23
1,15,41,0,1,9
1,10,44,0,3,14
1,13,42,0,3,16
1,5,47,0,2,17
1,11,30,0,2,11
1,8,39,0,0,3
1,12,38,0,3,11
1,4,7,0,7,1
1,0,10,0,6,1
1,2,4,0,5,1
1,7,3,0,2,1
1,4,5,0,2,1
1,20,6,0,2,0
1,4,10,0,1,0
1,4,12,0,4,2
1,0,6,0,5,0
1,2,6,0,3,0
1,4,10,0,3,0
1,3,0,0,2,0
1,0,16,0,4,2
1,11,5,0,2,1
1,12,2,0,5,3
1,14,11,0,3,1
1,12,2,0,0,0
1,9,1,0,0,0
1,12,2,0,9,2
1,12,5,0,7,1
1,12,7,0,6,1
1,3,1,0,4,1
1,10,6,0,2,1
1,10,17,0,2,0
1,20,8,0,4,2
1,24,10,0,3,1
1,17,10,0,3,1
1,32,12,0,2,2
1,16,9,0,3,0
1,14,8,0,4,3
1,6,10,0,4,3
1,13,13,0,4,3
1,0,13,0,3,2
1,8,12,0,3,3
1,12,2,0,1,1
1,8,42,0,7,19
1,9,39,0,11,15
1,0,26,0,6,9
1,16,23,0,3,6
1,6,17,0,5,3
1,28,17,0,4,44
1,18,20,0,4,41
1,7,1,0,9,1
1,0,0,0,27,0
1,5,0,0,26,0
1,6,0,0,22,0
1,2,1,0,22,0
1,4,2,0,17,1
1,4,1,0,14,0
1,33,11,0,3,1
1,34,11,0,0,1
1,25,10,0,2,2
1,29,9,0,3,3
1,0,2,0,15,0
1,9,3,0,11,0
1,0,2,0,25,0
1,21,3,0,18,1
1,12,2,0,11,1
1,4,4,0,4,2
1,7,3,0,5,2
1,0,4,0,4,0
1,0,6,0,0,0
1,0,3,0,0,0
1,13,3,0,1,1
1,10,3,0,1,1
1,16,3,0,0,0
1,9,0,0,0,0
1,8,0,0,1,0
1,0,8,0,0,0
1,0,5,0,0,0
1,30,0,0,1,1
1,31,2,0,0,0
1,10,0,0,1,1
1,6,1,0,1,1
1,32,4,0,0,0
1,26,2,0,1,1
1,26,2,0,0,0
1,12,0,0,1,0
1,6,0,0,0,0
1,1,0,0,1,0
1,1,0,0,2,2
1,0,0,0,0,1
1,6,1,0,1,0
1,12,0,0,2,0
1,7,2,0,4,0
1,0,3,0,2,0
1,6,2,0,5,1
1,7,5,0,4,2
1,10,0,0,0,0
1,11,0,0,1,0
1,9,1,0,0,1
1,8,2,0,1,9
1,2,0,0,0,1
1,0,2,0,1,0
1,8,3,0,0,0
1,5,0,0,0,0
1,3,0,0,0,0
1,6,0,0,1,3
1,28,0,0,0,0
1,1,0,0,0,0
1,4,0,0,0,1
1,21,0,0,0,0
1,6,0,0,1,0
1,20,1,0,0,0
1,18,3,0,1,0
2,1270,3450,8,1390,520
2,754,2647,6,2590,1127
2,300,700,36,1700,280
2,796,999,31,1599,234
2,358,784,130,1165,269
2,769,999,31,1599,234
2,295,1466,32,1295,331
2,507,1053,17,1440,297
2,290,1260,8,820,231
2,400,940,24,820,210
2,290,966,57,1810,299
2,160,598,7,1801,212
2,213,384,3,2028,401
2,512,1127,316,2248,350
2,"521,1",107,"9,2","144,7","177,1"
2,162,109,11,183,201
2,360,100,16,380,230
2,2177,1049,705,440,207
2,1790,580,619,336,321
2,1100,1600,26,2010,221
2,1550,2740,184,5450,816
2,605,1586,"2,3",1901,655
2,"676,7","969,6","17,5","2483,3","570,6"
2,4480,560,896,403,380
2,2240,560,940,450,380
2,740,2227,42,4258,567
2,388,860,"18,3",1833,230
2,360,610,9,260,259
2,1450,940,61,322,211
2,6709,10500,1400,17700,750
2,1550,2740,816,5450,184
2,3910,4290,626,6040,1230
2,12705,23498,6047,34257,5188
2,54.54,71.93,9.72,97.37,6.58
2,116.17,180.83,52.48,278.18,5.36
2,28.97,10.94,1.64,6.96,4.36
2,15.9,55.98,22.33,137.25,0.21
2,50.35,65.58,21.05,99.13,0.96
2,120.45,210.91,35.7,285.39,15.86
2,5.48,48.82,96.81,489.57,0.3
2,605,1586,655,1901,2.3
2,25.4,54.97,8.72,77.84,10.47
2,131.7,116.55,19.4,183.97,0.32
2,676.74,969.55,570.57,2483.26,17.48
2,73.8,148,38.9,181,1.76
2,18.19,21.99,6.58,46.92,3.97
2,22400,22400,2690,13440,1570
2,388,860,230,1833,18.3
2,103,221.7,47.2,422,0.9
2,90,313,10,566,67
2,480,1075,1,1132,298
2,80,619,0,2480,326
2,5170,1674,0,380,195
2,36,245,"0,1",332,144
2,86,187,"0,1",363,136
2,107,143,2,222,34
2,131,386,5,500,78
2,194,355,4,589,99
2,66,322,7,809,112
2,68,205,0,61,184
2,198,313,3,727,83
2,98,309,2,578,104
2,45,168,82,"3,1",330
2,58,103,51,6,251
2,56,144,36,"1,8",164
2,82,161,79,"8,9",406
2,129,181,44,0,244
2,164,244,103,"8,3",497
2,98,123,33,16,296
2,437,113,9,90,84
2,305,100,541,161,33
2,543,120,1880,411,41
2,1230,163,692,233,27
2,650,81,270,51,170
2,4230,690,1180,196,5
2,1900,285,7730,957,31
2,1000,500,500,400,1
2,860,1670,40,2050,30
2,100,200,11,670,110
2,"116,17","180,83","5,36","278,18","52,48"
2,"120,5","210,9","15,9","285,4","35,7"
2,"73,8",148,"1,8",181,"38,9"
2,670,224,2,67,45
2,2240,360,828,169,25
2,200,230,480,170,2
2,890,110,700,84,3
2,41,112,4536,254,0
2,111,559,0,707,243
2,362,533,10,553,91
2,700,"137,4","936,6","194,8",15
2,480,1075,0,1132,298
2,8800,64064,72128,95650,0
2,1100,1600,221,2010,26
2,290,966,299,1810,57
2,2500,10500,4790,13500,6
2,1860,4980,0,10700,1600
2,860,1670,30,2050,40
2,400,940,210,820,24
2,100,200,110,670,11
2,290,1260,231,820,8
2,300,700,280,1700,36
2,107,143,34,222,2
2,101.5,24.45,8.97,128.37,0
2,740,2227,567,4258,42
2,1270,3450,520,1390,8
2,3420,7870,1500,6990,33
2,360,610,259,260,9
2,3675,6392,2500,7691,5
2,124,166,0,59,87
2,124,190,0,349,56
2,60,159,0,161,81
2,"7,8",111,208,1,701
2,18,135,59,0,208
2,16,237,92,0,470
2,15,125,29,7,574
2,"70,4","69,5","28,9","10,4","241,2"
2,"130,4","48,8","16,3","123,4","93,4"
2,198,"54,3","6,4","148,8","107,1"
2,"217,5",40,"4,9","67,5","51,8"
2,150,27,"3,6",90,63
2,201,"36,1",6,"47,2","32,3"
2,645,86,317,110,13
2,385,60,159,53,8
2,595,80,244,89,9
2,1330,10,182,66,20
2,150,22,11,60,9
2,"54,54","71,93","6,58","97,37","9,72"
2,"50,18","171,12",0,"148,69","74,7"
2,"131,7","116,6","0,3",184,"19,4"
2,130,140,0,120,24
2,84,126,"0,4","132,2",29
2,103,"221,7","0,9",422,"47,2"
2,150,22,9,60,11
2,6,2990,29990,26076,67
2,65,34,16,112,0
2,23,6,31,23,172
2,2031,149,1,3,20
2,29,204,0,17,264
2,48,610,"0,1",10,29
2,59,93,1,6,89
2,16,213,0,11,535
2,22,259,0,9,427
2,0,211,0,13,655
2,14,116,1,19,437
2,25,108,0,18,281
2,192,45,14,0,51
2,63,"7,4","1,8","6,2",17
2,54,7,"7,4","5,4","8,6"
2,59,28,9,15,70
2,160,90,27,5,17
2,78,20,28,13,11
2,35,6,482,26,3
2,60,10,4,4,4
2,95,10,39,11,0
2,210,22,7,6,6
2,120,25,40,8,1
2,8,0,101,43,0
2,57,24,30,27,2
2,1,8,6,100,8
2,"50,35","65,6",1,"99,1","21,1"
2,"87,2","17,3","32,8","12,9","3,9"
2,"25,4",55,"10,5","77,8","8,7"
2,"101,5","24,5",0,"128,37",9
2,"34,76","5,52","10,4",5,"2,1"
2,"18,19",22,4,"46,92","6,6"
2,0,224,0,45,0
2,65,34,0,112,16
2,60,5,29,6,1
2,38,3,"19,4","4,1",0
2,253,"21,5","72,4","16,1","5,9"
2,131,32,"38,7","18,8","7,3"
2,116,20,54,27,7
2,70,"3,8","31,1","3,2","0,6"
2,48,610,0,10,29
2,2031,149,0,3,20
2,1,8,8,100,6
2,21,75,24,126,0
2,103,74,0,9,80
2,66,60,"0,1",7,2
2,191,47,"0,1",15,43
2,10,24,"0,1",24,372
2,10,15,5,0,"19,5"
2,12,23,9,0,98
2,4,1,52,7,2
2,20,"80,2",0,"68,6","24,6"
2,"28,97","10,94","4,36","6,96","1,64"
2,"15,9","55,98","0,21","137,25","22,33"
2,"47,6","19,1","0,72",27,"4,21"
2,"2,4","119,7",0,"20,2","21,9"
2,"5,5","48,8","0,3","489,6","96,8"
2,2,"2,1","1,6","0,7","0,5"
2,21,2,"5,6","1,5","0,5"
2,"1,6",1,"1,6","0,9","0,1"
2,224,"4,5",0,0,2
2,65,20,0,5,10
2,53,39,0,"4,5",3
2,219,44,0,3,3
2,37,47,0,"5,5",10
2,48,40,0,"0,5",11
2,86,8,0,"2,5","2,5"
2,50,3,0,0,1
2,55,22,0,"2,6","0,5"
2,78,66,0,"2,6",62
2,"24,3","15,7","29,8","11,2","6,4"
2,21,75,0,126,24
2,23,60,"0,1","56,9","18,6"
2,34,"18,9","5,6","9,4","3,7"
2,66,60,0,7,2
3,2177,1049,705,440,207
3,1790,580,619,336,321
3,1570,1110,1830,1780,175
3,949,557,834,609,551
3,1115,375,977,899,591
3,205,370,26,805,535
3,448,93,7,637,145
3,2850,1115,3675,1987,138
3,1770,"554,2","885,7","1066,7","145,2"
3,305,100,33,161,541
3,543,120,41,411,1880
3,1230,163,27,233,692
3,6870,1028,79,900,5500
3,10092,5399,530,6500,37565
3,4230,690,5,196,1180
3,7600,1230,318,836,1560
3,6454,2313,121,2159,6432
3,2177,1049,207,440,705
3,1790,580,321,336,619
3,1900,285,31,957,7730
3,2850,1115,138,1987,3675
3,545,130,16,153,239
3,7150,1440,97,1210,1760
3,620,325,38,181,244
3,755,229,32,404,460
3,13500,6110,212,4510,4040
3,1570,1110,175,1780,1830
3,3090,5020,323,3800,2540
3,1820,405,35,365,634
3,535,160,16,305,680
3,1084,188,8,166,769
3,7940,2000,355,3120,5390
3,305,100,541,161,33
3,1230,163,692,233,27
3,4230,690,1180,196,5
3,217,286,884,458,14
3,441,207,261,224,43
3,176,"205,9","68,7","75,7","47,7"
3,545,130,239,153,16
3,755,229,460,404,32
3,1820,405,634,365,35
3,260,215,277,334,35
3,1500,395,323,395,28
3,3700,1690,3270,2810,128
3,2770,660,763,712,54
3,1170,255,325,312,18
3,5100,1430,1010,1140,1
3,535,160,680,305,16
3,530,345,250,266,85
3,590,1500,2300,1200,68
3,99,170,190,200,20
3,1900,530,434,383,35
3,245,120,167,131,18
3,810,580,490,570,111
3,5000,1200,1100,1000,83
3,512,364,820,656,33
3,455,112,206,153,13
3,761,134,272,228,12
3,504,142,389,228,14
3,941,192,771,352,20
3,3389,589,3984,726,92
3,1381,550,436,434,28
3,338,168,364,247,20
3,597,405,1982,768,50
3,45,431,210,2,517
3,125,390,202,"0,69",497
3,620,325,244,181,38
3,5100,1430,1010,1140,0
3,1084,188,769,166,8
3,150,130,30,55,9
3,420,250,800,530,41
3,310,230,760,610,54
3,800,160,600,260,23
3,810,280,490,570,111
3,1570,735,1740,1330,87
3,5760,540,2760,1000,"40,5"
3,2240,157,45,45,90
3,645,86,13,110,317
3,650,81,170,51,270
3,385,60,8,53,159
3,595,80,9,89,244
3,1330,10,20,66,182
3,1000,500,1,400,500
3,440,89,19,304,757
3,210,43,12,102,187
3,7020,1850,0,2960,4410
3,5100,1430,0,1140,1010
3,150,130,9,55,30
3,645,86,317,110,13
3,1330,10,182,66,20
3,595,80,244,89,9
3,385,60,159,53,8
3,206,42,221,82,16
3,193,48,66,154,22
3,440,89,757,304,19
3,120,31,94,66,1
3,220,77,240,170,22
3,305,85,130,197,25
3,110,62,250,140,90
3,196,64,365,96,8
3,288,72,218,138,8
3,65,"26,1","10,1","57,8","41,6"
3,64,22,"20,7","95,1","51,7"
3,65,150,45,0,54
3,3930,2397,0,0,157
3,210,43,187,102,12
3,120,31,94,66,0
3,137,67,104,53,7
3,40,"102,6","0,2","183,3","32,3"
3,1600,3600,0,14,670
3,1950,123,2,2,38
3,390,"62,6","133,6","65,3","12,8"
3,3930,2397,157,0,0
3,37800,1740,249,8,8
3,8266,1061,22,0,0
3,9340,995,60,6,7
3,36036,4704,554,5,10
3,33046,619,58,2,0
3,40280,1069,1060,1,1
3,26788,18342,2111,27,0
3,35,6,3,26,482
3,137,67,7,53,104
3,240,20,96,28,5
3,56,61,31,32,75
3,78,20,28,13,11
3,95,10,39,11,0
3,120,25,40,8,1
3,127,24,81,32,"0,0001"
3,154,11,3,8,14
3,127,24,81,32,0
3,75,15,26,14,7
3,60,5,21,21,2
3,90,28,32,31,8
3,57,4,15,31,3
3,991,126,0,18,44
3,22,187,0,17,745
3,33,106,0,30,164
3,22,202,0,3,386
3,8,4,2,45,0
3,21,29,62,49,3
3,49,1,3,3,0
3,49,"41,6","25,1","15,7",124
3,"41,3","6,8","40,4","8,15","4,6"
3,4,"70,7",76,"18,9",211
3,34,21,56,49,4
3,462,"212,4",0,0,"31,6"
3,2240,168,0,0,25
3,73,8,12,2,4
3,92600,10200,0,0,0
3,78,20,11,13,28
3,60,10,4,4,4
3,210,22,6,6,7
3,57,24,2,27,30
3,120,31,0,66,94
3,34,21,4,49,56
3,2587,"7,88",0,"1,4","4,7"
3,160,10,1,1,3
3,0,3,3,20,5
3,5,100,0,10,127
3,73,19,1,13,9
3,21,"7,6","4,7","26,73","96,3"
3,29,"7,52","5,5","5,4","14,8"
3,"6,3","7,87","6,97","11,1","3,03"
3,"23,4","14,3","7,12","3,44","9,71"
3,"15,2","2,4","4,8","27,2","4,5"
3,22,12,"4,6","7,4","6,3"
3,13,3,6,3,1
3,88,9,0,0,0
3,95,10,0,11,39
3,120,25,1,8,40
3,8,0,0,43,101
3,4,1,2,7,52